# Number of nodes: 100
# Number of edges in Barabasi graph: 3
# Graph 	 Messages 	 Different initial 	 Similar Initial
62	4	58.64	41.05
62	5	69.57	63.01
62	6	72.16	62.22
63	1	56.1	53.79
63	2	77.02	57.61
63	3	60.58	49.46
63	4	64.93	53.74
63	5	55.17	44.03
63	6	65.15	46.95
64	1	55.94	44.42
64	2	61.49	49.43
64	3	58.65	51.74
64	4	60.98	48.9
64	5	73.39	46.42
64	6	55.6	67.15
65	1	49.85	45.89
65	2	61.59	62.08
65	3	54.95	39.55
65	4	61.01	55.26
65	5	61.23	49.85
65	6	71.27	50.2
66	1	57.12	45.13
66	2	66.92	43.99
66	3	63.56	51.09
66	4	62.85	51.0
66	5	55.86	61.47
66	6	66.6	46.02
67	1	60.44	42.77
67	2	62.1	50.35
67	3	64.21	62.88
67	4	57.88	46.28
67	5	69.71	39.62
67	6	59.69	50.0
68	1	51.21	48.11
68	2	60.14	60.42
68	3	62.62	56.85
68	4	56.82	51.88
68	5	74.77	46.26
68	6	50.07	53.28
69	1	53.26	41.3
69	2	53.32	56.74
69	3	59.0	48.13
69	4	67.96	50.31
69	5	65.18	62.7
69	6	70.17	59.08
70	1	62.4	46.84
70	2	61.12	48.94
70	3	54.38	40.78
70	4	71.48	59.29
70	5	67.02	47.55
70	6	58.08	53.42
71	1	59.52	46.13
71	2	52.79	48.93
71	3	66.87	54.08
71	4	62.91	40.3
71	5	49.72	42.59
71	6	52.57	60.26
72	1	60.03	45.53
72	2	57.01	41.94
72	3	57.16	44.15
72	4	74.93	55.97
72	5	72.78	46.45
72	6	67.41	50.99
73	1	58.8	47.96
73	2	60.05	53.87
73	3	75.78	51.23
73	4	60.86	53.08
73	5	69.07	38.39
73	6	54.79	55.8
74	1	57.4	41.12
74	2	70.39	54.12
74	3	51.02	49.22
74	4	63.16	45.43
74	5	45.91	53.02
74	6	56.76	55.59
75	1	52.25	32.47
75	2	64.65	44.93
75	3	70.68	57.04
75	4	64.86	54.21
75	5	64.16	50.28
75	6	45.64	50.89
76	1	62.44	50.09
76	2	59.77	43.07
76	3	65.62	48.9
76	4	62.86	46.33
76	5	74.12	46.42
76	6	66.69	50.02
77	1	58.63	46.21
77	2	61.18	31.02
77	3	60.63	58.48
77	4	57.32	53.12
77	5	77.85	42.82
77	6	56.71	64.1
78	1	44.73	40.36
78	2	66.8	43.73
78	3	62.48	49.78
78	4	66.66	57.71
78	5	61.47	55.75
78	6	63.3	48.21
79	1	55.88	51.55
79	2	66.5	49.52
79	3	51.37	47.59
79	4	59.25	52.46
79	5	64.43	41.48
79	6	62.42	50.34
80	1	55.1	43.87
80	2	51.11	49.86
80	3	59.58	58.29
80	4	55.44	41.0
80	5	68.85	42.09
80	6	58.66	49.05
81	1	63.21	41.15
81	2	61.25	53.81
81	3	73.31	46.49
81	4	65.41	61.01
81	5	52.68	44.66
81	6	64.69	53.88
82	1	48.18	37.32
