# Number of nodes: 1000
# Number of edges in Barabasi graph: 3
# Graph 	 Probability 	 Different initial 	 Similar Initial
89	0.1	62.0908	45.2546
89	0.2	63.8488	52.9112
89	0.3	57.1391	43.7315
89	0.4	69.7219	55.1561
89	0.5	67.7221	54.995
90	0.1	67.4895	53.1733
90	0.2	56.1903	45.1585
90	0.3	61.2304	50.6339
90	0.4	52.9215	49.5534
90	0.5	63.211	45.9264
91	0.1	71.4014	57.6695
91	0.2	71.4258	54.598
91	0.3	62.6231	51.0253
91	0.4	56.5388	58.5216
91	0.5	72.5202	55.3613
92	0.1	60.6562	46.571
92	0.2	55.9018	55.5897
92	0.3	66.7522	52.6741
92	0.4	63.7579	47.3985
92	0.5	63.3542	47.4142
93	0.1	53.4404	54.852
93	0.2	63.7862	59.9905
93	0.3	71.1192	56.2752
93	0.4	61.5363	48.23
93	0.5	59.6879	52.7468
94	0.1	67.6862	48.8948
94	0.2	62.3848	54.8842
94	0.3	75.1554	56.1061
94	0.4	66.5975	45.3988
94	0.5	55.9069	58.5794
95	0.1	60.1351	43.9123
95	0.2	54.4662	40.7207
95	0.3	73.121	56.9134
95	0.4	58.1626	43.9203
95	0.5	72.8363	46.5483
96	0.1	60.833	51.4015
96	0.2	64.2604	52.6519
96	0.3	60.4529	48.5946
96	0.4	65.9173	42.9297
96	0.5	69.6449	56.2761
97	0.1	54.9958	54.1453
97	0.2	52.7939	59.6007
97	0.3	72.2086	51.0162
97	0.4	72.7448	51.2676
97	0.5	61.6083	60.9245
98	0.1	63.0107	51.8266
98	0.2	49.707	40.2971
98	0.3	64.8839	41.7147
98	0.4	56.5812	55.3378
98	0.5	58.072	49.8076
99	0.1	67.5203	55.5187
99	0.2	78.2151	61.147
99	0.3	51.4828	55.0705
99	0.4	68.7899	59.059
99	0.5	70.8873	47.4149
100	0.1	68.1154	48.3571
100	0.2	74.3533	52.86
100	0.3	68.7166	48.543
100	0.4	61.7863	54.6362
100	0.5	61.2381	46.4988
